MAG	recipient	outcome	Recipient	transplant_sample	FMT Method	transplant_mean_cov_Q2Q3	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DB_MAG_00004	R02	no_colonization	R02	DB_D_11	colonoscopy	48.4953963701	19.0	0.12418300653594773	2.0	0.16666666666666666	0.0	0.0	5.0	0.21739130434782608	3.0	0.015957446808510637	31.0	0.10915492957746477	37.0	0.17535545023696686	0.0	0.0	0.0	0.0	15.0	0.045180722891566265	1.0	0.09090909090909093	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.08227848101265822	0.0	0.0	12.0	0.09836065573770493
DB_MAG_00005	R02	no_colonization	R02	DB_D_11	colonoscopy	2.41483984096	76.0	0.4967320261437909	8.0	0.6666666666666666	0.0	0.0	17.0	0.7391304347826086	73.0	0.3882978723404255	180.0	0.6338028169014085	138.0	0.6540284360189573	3.0	0.6	8.0	0.04651162790697674	229.0	0.6897590361445783	6.0	0.5454545454545454	22.0	0.19642857142857145	38.0	0.34545454545454546	6.0	0.16666666666666666	80.0	0.5063291139240507	1.0	0.037037037037037035	82.0	0.6721311475409836
DB_MAG_00010	R02	no_colonization	R02	DB_D_11	colonoscopy	44.928466566400004	39.0	0.2549019607843137	3.0	0.25	0.0	0.0	7.0	0.3043478260869565	13.0	0.06914893617021277	103.0	0.3626760563380282	95.0	0.4502369668246445	0.0	0.0	0.0	0.0	62.0	0.1867469879518072	2.0	0.18181818181818185	1.0	0.008928571428571428	2.0	0.01818181818181818	0.0	0.0	38.0	0.2405063291139241	0.0	0.0	10.0	0.08196721311475409
DB_MAG_00013	R02	no_colonization	R02	DB_D_11	colonoscopy	1.979015051	57.0	0.3725490196078432	0.0	0.0	0.0	0.0	4.0	0.17391304347826084	0.0	0.0	70.0	0.24647887323943665	52.0	0.2464454976303317	3.0	0.6	0.0	0.0	111.0	0.3343373493975904	0.0	0.0	48.0	0.42857142857142855	92.0	0.8363636363636363	5.0	0.1388888888888889	49.0	0.310126582278481	1.0	0.037037037037037035	6.0	0.049180327868852465
DB_MAG_00014	R02	no_colonization	R02	DB_D_11	colonoscopy	7.34283706659	48.0	0.3137254901960784	5.0	0.4166666666666667	0.0	0.0	9.0	0.39130434782608703	22.0	0.11702127659574467	131.0	0.4612676056338028	75.0	0.35545023696682465	0.0	0.0	1.0	0.005813953488372093	110.0	0.3313253012048193	1.0	0.09090909090909093	10.0	0.08928571428571429	32.0	0.2909090909090909	2.0	0.05555555555555555	24.0	0.1518987341772152	2.0	0.07407407407407407	29.0	0.2377049180327869
DB_MAG_00015	R02	no_colonization	R02	DB_D_11	colonoscopy	5.09308576122	31.0	0.20261437908496727	6.0	0.5	0.0	0.0	7.0	0.3043478260869565	2.0	0.010638297872340424	121.0	0.426056338028169	86.0	0.4075829383886256	5.0	1.0	0.0	0.0	81.0	0.24397590361445784	1.0	0.09090909090909093	4.0	0.03571428571428571	1.0	0.00909090909090909	0.0	0.0	34.0	0.21518987341772156	6.0	0.2222222222222222	23.0	0.1885245901639344
DB_MAG_00017	R01	no_colonization	R01	DB_D_08	colonoscopy	2.5949002007499997	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.02325581395348837	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.024590163934426233
DB_MAG_00017	R02	no_colonization	R02	DB_D_11	colonoscopy	1.40617991578	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.02325581395348837	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.024590163934426233
DB_MAG_00017	R03	no_colonization	R03	DB_D_14	pill	5.33003305238	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.02325581395348837	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.024590163934426233
DB_MAG_00017	R04	no_colonization	R04	DB_D_13	pill	1.8865316633700002	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826084	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.02325581395348837	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.024590163934426233
